TaxiId,Latitude,Longitude,Occupied,Time
abgibo,37.78242,-122.47408,1,"""1212003849
"
abgibo,37.78301,-122.46451,1,"""1211962353
"
abgibo,37.78123,-122.46187,1,"""1211962255
"
abgibo,37.78492,-122.45685,1,"""1211930913
"
abgibo,37.78752,-122.46239,1,"""1211916800
"
abgibo,37.78081,-122.471,1,"""1211915969
"
abgibo,37.74031,-122.40705,1,"""1211902402
"
abgibo,37.70884,-122.44491,1,"""1211845436
"
abgibo,37.73978,-122.42103,1,"""1211841954
"
abgibo,37.77243,-122.50978,1,"""1211836742
"
abgibo,37.76053,-122.50568,1,"""1211836407
"
abgibo,37.73563,-122.50345,1,"""1211835602
"
abgibo,37.74297,-122.42595,1,"""1211834782
"
abgibo,37.73799,-122.46324,1,"""1211803598
"
abgibo,37.71854,-122.48558,1,"""1211802522
"
abgibo,37.78447,-122.4807,1,"""1211752935
"
abgibo,37.75798,-122.47642,1,"""1211752056
"
abgibo,37.75687,-122.47651,1,"""1211752013
"
abgibo,37.74125,-122.50031,1,"""1211714022
"
abgibo,37.77433,-122.45945,1,"""1211701192
"
abgibo,37.79063,-122.47577,1,"""1211696146
"
abgibo,37.74417,-122.42143,1,"""1211694645
"
abgibo,37.74355,-122.42674,1,"""1211686841
"
abgibo,37.73854,-122.42603,1,"""1211686717
"
abgibo,37.72082,-122.47582,1,"""1211654369
"
abgibo,37.72781,-122.45258,1,"""1211650171
"
abgibo,37.72912,-122.41949,1,"""1211640091
"
abgibo,37.72369,-122.41717,1,"""1211639988
"
abgibo,37.73571,-122.41786,1,"""1211639632
"
abgibo,37.72751,-122.42835,1,"""1211636092
"
abgibo,37.73731,-122.42215,1,"""1211635540
"
abgibo,37.72586,-122.40285,1,"""1211534220
"
abgibo,37.73283,-122.4332,1,"""1211533375
"
abgibo,37.75149,-122.48816,1,"""1211517503
"
abgibo,37.78594,-122.4577,1,"""1211483030
"
abgibo,37.7791,-122.46403,1,"""1211456292
"
abgibo,37.73473,-122.41311,1,"""1211455151
"
abgibo,37.73373,-122.4262,1,"""1211451916
"
abgibo,37.75829,-122.50796,1,"""1211447747
"
abgibo,37.73303,-122.37909,1,"""1211414317
"
abgibo,37.76335,-122.45819,1,"""1211412761
"
abgibo,37.76522,-122.47618,1,"""1211412129
"
abgibo,37.76537,-122.48143,1,"""1211359580
"
abgibo,37.76432,-122.46057,1,"""1211359339
"
abgibo,37.76211,-122.46704,1,"""1211359133
"
abgibo,37.75357,-122.47623,1,"""1211342615
"
abgibo,37.76563,-122.47077,1,"""1211342269
"
abgibo,37.72427,-122.40214,1,"""1211336306
"
abgibo,37.71815,-122.4008,1,"""1211336162
"
abgibo,37.77707,-122.46399,1,"""1211274813
"
abgibo,37.76069,-122.46289,1,"""1211260956
"
abgibo,37.72456,-122.4515,1,"""1211246330
"
abgibo,37.7275,-122.39325,1,"""1211192717
"
abgibo,37.77512,-122.48007,1,"""1211189771
"
abgibo,37.73341,-122.43423,1,"""1211169364
"
abgibo,37.73411,-122.43322,1,"""1211169197
"
abgibo,37.78579,-122.45893,1,"""1211147866
"
abgibo,37.80417,-122.45455,1,"""1211146112
"
abgibo,37.76091,-122.49602,1,"""1211142229
"
abgibo,37.74298,-122.48971,1,"""1211141864
"
abgibo,37.76091,-122.49602,1,"""1211142229
"
abgibo,37.71058,-122.46754,1,"""1211141177
"
abgibo,37.71768,-122.48198,1,"""1211140952
"
abgibo,37.7375,-122.42101,1,"""1211138826
"
abgibo,37.73893,-122.41556,1,"""1211138428
"
abgibo,37.7375,-122.42101,1,"""1211138826
"
abgibo,37.73198,-122.42905,1,"""1211137920
"
abgibo,37.72006,-122.47907,1,"""1211137431
"
abgibo,37.71443,-122.43665,1,"""1211133922
"
abgibo,37.71672,-122.4024,1,"""1211133312
"
abgibo,37.73,-122.39919,1,"""1211132667
"
abgibo,37.7239,-122.40205,1,"""1211131667
"
abgibo,37.7858,-122.457,1,"""1211125861
"
abgibo,37.76181,-122.47695,1,"""1211119682
"
abgibo,37.78636,-122.45323,1,"""1211105150
"
abgibo,37.77735,-122.46074,1,"""1211101747
"
abgibo,37.77826,-122.49634,1,"""1211051424
"
abgibo,37.77982,-122.51005,1,"""1211049950
"
abgibo,37.77617,-122.45662,1,"""1211030842
"
abgibo,37.76192,-122.47302,1,"""1211029982
"
abgibo,37.76623,-122.45434,1,"""1211029695
"
abgibo,37.78438,-122.47093,1,"""1211019107
"
abjoolaw,37.79613,-122.45585,1,"""1213001684
"
abjoolaw,37.7725,-122.48532,1,"""1212999988
"
abjoolaw,37.77245,-122.48943,1,"""1212999845
"
abjoolaw,37.76936,-122.45198,1,"""1212999511
"
abjoolaw,37.74315,-122.474,1,"""1212998557
"
abjoolaw,37.76532,-122.45317,1,"""1212997192
"
abjoolaw,37.76146,-122.48311,1,"""1212986104
"
abjoolaw,37.76467,-122.47511,1,"""1212985828
"
abjoolaw,37.78101,-122.46596,1,"""1212976574
"
abjoolaw,37.77612,-122.45492,1,"""1212976399
"
abjoolaw,37.77567,-122.45353,1,"""1212976325
"
abjoolaw,37.78163,-122.47839,1,"""1212953736
"
abjoolaw,37.77588,-122.49412,1,"""1212952567
"
abjoolaw,37.76226,-122.4932,1,"""1212920388
"
abjoolaw,37.76438,-122.46735,1,"""1212917839
"
abjoolaw,37.78114,-122.46531,1,"""1212914073
"
abjoolaw,37.78692,-122.45983,1,"""1212907199
"
abjoolaw,37.73492,-122.41104,1,"""1212821672
"
abjoolaw,37.73583,-122.42458,1,"""1212821362
"
abjoolaw,37.72289,-122.43752,1,"""1212821128
"
abjoolaw,37.736,-122.42346,1,"""1212800977
"
abjoolaw,37.74404,-122.42088,1,"""1212799629
"
abjoolaw,37.74434,-122.42277,1,"""1212799537
"
abjoolaw,37.74475,-122.42334,1,"""1212796721
"
abjoolaw,37.74475,-122.42334,1,"""1212796721
"
abjoolaw,37.76156,-122.50273,1,"""1211360882
"
abjoolaw,37.78099,-122.45985,1,"""1211355563
"
abjoolaw,37.78119,-122.46421,1,"""1211355442
"
abjoolaw,37.74434,-122.42676,1,"""1211345089
"
abjoolaw,37.71756,-122.43375,1,"""1211339967
"
abjoolaw,37.71953,-122.43326,1,"""1211339715
"
abjoolaw,37.77975,-122.49002,1,"""1211324923
"
abjoolaw,37.78505,-122.49944,1,"""1211324653
"
abjoolaw,37.72597,-122.38016,1,"""1211313285
"
abjoolaw,37.75424,-122.47626,1,"""1211307898
"
abjoolaw,37.72736,-122.4655,1,"""1211307233
"
abjoolaw,37.72962,-122.4064,1,"""1211304916
"
abjoolaw,37.72962,-122.4064,1,"""1211304916
"
abjoolaw,37.75857,-122.46414,1,"""1211285820
"
abjoolaw,37.7194,-122.43233,1,"""1211284764
"
abjoolaw,37.77038,-122.45206,1,"""1211282804
"
abjoolaw,37.7115,-122.44641,1,"""1211262192
"
abjoolaw,37.74355,-122.42431,1,"""1211235480
"
abjoolaw,37.78586,-122.45724,1,"""1211225920
"
abjoolaw,37.79067,-122.47581,1,"""1211225517
"
abjoolaw,37.7834,-122.45447,1,"""1211208498
"
abjoolaw,37.78755,-122.4526,1,"""1211207949
"
abjoolaw,37.76441,-122.459,1,"""1211198219
"
abjoolaw,37.78024,-122.46743,1,"""1211196549
"
abjoolaw,37.74101,-122.43163,1,"""1211185364
"
abjoolaw,37.77862,-122.51379,1,"""1211137525
"
abjoolaw,37.77862,-122.51378,1,"""1211137522
"
abjoolaw,37.77196,-122.49916,1,"""1211137258
"
abjoolaw,37.77132,-122.51039,1,"""1211137095
"
abjoolaw,37.78597,-122.47952,1,"""1211076554
"
abjoolaw,37.77981,-122.50918,1,"""1211070425
"
abjoolaw,37.77276,-122.51,1,"""1211070218
"
abjoolaw,37.7866,-122.45307,1,"""1211063094
"
abmuyawm,37.77805,-122.46519,1,"""1213002713
"
abmuyawm,37.78302,-122.46265,1,"""1213002595
"
abmuyawm,37.78587,-122.48236,1,"""1213002302
"
abmuyawm,37.78207,-122.48492,1,"""1213002043
"
abmuyawm,37.76372,-122.50941,1,"""1212993251
"
abmuyawm,37.77987,-122.50579,1,"""1212992647
"
abmuyawm,37.77188,-122.50316,1,"""1212992342
"
abmuyawm,37.76376,-122.47714,1,"""1212991721
"
abmuyawm,37.783,-122.46267,1,"""1212978057
"
abmuyawm,37.78308,-122.46313,1,"""1212977639
"
abmuyawm,37.77277,-122.45423,1,"""1212977234
"
abmuyawm,37.76972,-122.45365,1,"""1212977229
"
abmuyawm,37.73183,-122.43607,1,"""1212976393
"
abmuyawm,37.76462,-122.45266,1,"""1212915477
"
abmuyawm,37.77726,-122.49314,1,"""1212914052
"
abmuyawm,37.76696,-122.45308,1,"""1212908013
"
abmuyawm,37.76367,-122.45199,1,"""1212907952
"
abmuyawm,37.76422,-122.46579,1,"""1212900194
"
abmuyawm,37.75708,-122.46694,1,"""1212899984
"
