TaxiId,Latitude,Longitude,CLUSTER_ID
abmuyawm,37.72378,-122.40151,"217"
abmuyawm,37.7315,-122.4535,"57"
abmuyawm,37.73481,-122.41616,"339"
abmuyawm,37.72858,-122.42367,"20"
abmuyawm,37.72602,-122.42515,"305"
abmuyawm,37.78134,-122.46017,"102"
abmuyawm,37.78484,-122.4602,"251"
abmuyawm,37.77611,-122.49412,"415"
abmuyawm,37.77389,-122.49586,"165"
abmuyawm,37.77387,-122.49587,"165"
abmuyawm,37.77506,-122.50271,"181"
abmuyawm,37.78301,-122.48286,"263"
abmuyawm,37.78129,-122.46025,"102"
abniar,37.7815,-122.45478,"273"
abniar,37.78012,-122.48301,"164"
abniar,37.77575,-122.49518,"415"
abniar,37.71638,-122.44116,"28"
abniar,37.7865,-122.45924,"227"
abniar,37.73995,-122.46682,"340"
abniar,37.74451,-122.46823,"298"
abniar,37.74467,-122.42422,"414"
abniar,37.7465,-122.45524,"325"
abniar,37.78191,-122.48864,"99"
abniar,37.78273,-122.46864,"157"
abniar,37.78167,-122.45858,"102"
abniar,37.78393,-122.48481,"178"
abniar,37.77412,-122.48644,"293"
abniar,37.7811,-122.46098,"102"
abniar,37.77969,-122.46527,"32"
abniar,37.75081,-122.47836,"342"
abniar,37.7456,-122.47599,"22"
abniar,37.79009,-122.45333,"44"
abniar,37.73739,-122.40788,"360"
abniar,37.78522,-122.46338,"354"
abniar,37.796,-122.45585,"278"
abniar,37.799,-122.45979,"92"
abniar,37.74568,-122.50017,"153"
abniar,37.75335,-122.47858,"114"
abniar,37.72851,-122.40393,"17"
abniar,37.72521,-122.40286,"217"
abniar,37.73091,-122.40495,"281"
abniar,37.72856,-122.42706,"20"
abniar,37.75414,-122.50859,"152"
abniar,37.74369,-122.50456,"23"
abniar,37.73875,-122.42353,"63"
abniar,37.74229,-122.42394,"414"
abniar,37.74128,-122.42428,"274"
abniar,37.74187,-122.3876,"12"
abniar,37.73024,-122.39897,"221"
abniar,37.72781,-122.38795,"130"
abniar,37.7847,-122.48625,"178"
abniar,37.74331,-122.43556,"210"
abniar,37.73589,-122.43971,"376"
abniar,37.77279,-122.4842,"424"
abniar,37.71064,-122.39182,"76"
abniar,37.77215,-122.45305,"117"
abniar,37.74326,-122.42137,"124"
abniar,37.73582,-122.39209,"48"
