block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_4502,15270,0,Lyon + Greenwich,175886,1_merged_9191498,9096634
b_4503,15270,0,Lyon + Greenwich,175886,1_merged_9191498,9096635
b_101,15222,1,Drumm + Clay,175672,1_merged_9191498,9052453
b_4507,15270,0,Lyon + Greenwich,175886,1_merged_9191498,9096638
b_4504,15270,0,Lyon + Greenwich,175886,1_merged_9191498,9096639
b_604,15229,1,Ferry Plaza,175708,3_merged_9191499,9059306
b_2415,15247,0,Palou + Third Street,175781,1_merged_9191498,9185160
b_103,15222,0,Presidio Avenue,175668,3_merged_9191499,9052836
b_108,15222,0,Geary + 33rd Avenue,175669,3_merged_9191499,9052837
b_3830,15265,1,Transit Center,175865,2_merged_9191500,9090878
b_5404,15275,1,Bayview District,175911,3_merged_9191499,9103156
b_3829,15265,1,Transit Center,175865,2_merged_9191500,9090879
b_303,15226,1,Market + Sansome,175686,1_merged_9191498,9055276
b_5405,15275,1,Bayview District,175911,3_merged_9191499,9103157
b_6008,15280,1,Market + Powell,175927,2_merged_9191500,9107636
b_5406,15275,1,Bayview District,175911,3_merged_9191499,9103154
b_5407,15275,1,Bayview District,175911,3_merged_9191499,9103155
b_5403,15275,1,Bayview District,175911,3_merged_9191499,9103152
b_5401,15275,1,Bayview District,175911,3_merged_9191499,9103153
a_6701,15063,0,Alemany + Ellsworth,174181,1_merged_9191495,8999389
b_109,15222,1,Drumm + Clay,175672,1_merged_9191498,9052451
b_5405,15275,1,Bayview District,175911,3_merged_9191499,9103150
a_6702,15063,0,Alemany + Ellsworth,174181,1_merged_9191495,8999388
b_9503,15300,0,S.F. Zoo,176065,2_merged_9191500,9119380
b_4903,15273,1,North Point + Van Ness,175905,2_merged_9191500,9100777
b_5402,15275,1,Bayview District,175911,3_merged_9191499,9103151
b_9607,15299,0,Folsom & Embarcadero,176037,3_merged_9191499,9115285
b_9605,15299,0,Folsom & Embarcadero,176037,3_merged_9191499,9115284
b_9608,15299,0,Folsom & Embarcadero,176037,3_merged_9191499,9115287
